Array Probe	Category Component
A_15_P102005	ENSDARG00000018871
	ENSDARG00000102608
A_15_P143236	ENSDARG00000102608
A_15_P110286	ENSDARG00000003818
A_15_P108761	ENSDARG00000019156
A_15_P206876	ENSDARG00000038615
A_15_P382715	ENSDARG00000038615
	ENSDARG00000092774
	ENSDARG00000092082
A_15_P309741	ENSDARG00000087457
	ENSDARG00000034734
A_15_P439415	ENSDARG00000079283
	ENSDARG00000079283
A_15_P184296	ENSDARG00000021913
A_15_P184301	ENSDARG00000021913
A_15_P184306	ENSDARG00000021913
	ENSDARG00000021913
A_15_P119070	ENSDARG00000105120
	ENSDARG00000098157
A_15_P121047	ENSDARG00000102929
A_15_P144746	ENSDARG00000102929
A_15_P164121	ENSDARG00000102929
	ENSDARG00000073688
A_15_P449405	ENSDARG00000073688
	ENSDARG00000103180
	ENSDARG00000090814
A_15_P133751	ENSDARG00000027141
A_15_P145641	ENSDARG00000027141
A_15_P145646	ENSDARG00000027141
	ENSDARG00000027141
	ENSDARG00000102434
A_15_P100704	ENSDARG00000099967
	ENSDARG00000095872
A_15_P185206	ENSDARG00000052142
	ENSDARG00000093111
A_15_P201456	ENSDARG00000069758
A_15_P321581	ENSDARG00000069758
	ENSDARG00000069758
	ENSDARG00000039218
	ENSDARG00000010717
A_15_P105357	ENSDARG00000010717
A_15_P109059	ENSDARG00000020449
A_15_P110039	ENSDARG00000038792
A_15_P132526	ENSDARG00000038792
	ENSDARG00000095204
A_15_P110436	ENSDARG00000017163
A_15_P395570	ENSDARG00000017163
A_15_P236216	ENSDARG00000044015
	ENSDARG00000044015
A_15_P117409	ENSDARG00000101456
	ENSDARG00000076801
	ENSDARG00000003206
A_15_P176221	ENSDARG00000003206
	ENSDARG00000105543
A_15_P118820	ENSDARG00000078686
	ENSDARG00000017835
A_15_P185836	ENSDARG00000044318
	ENSDARG00000076025
A_15_P507272	ENSDARG00000009253
A_15_P120868	ENSDARG00000009253
	ENSDARG00000009253
	ENSDARG00000062549
A_15_P200411	ENSDARG00000037262
A_15_P551412	ENSDARG00000075855
A_15_P112082	ENSDARG00000037555
	ENSDARG00000038976
A_15_P557582	ENSDARG00000038976
	ENSDARG00000039349
A_15_P194909	ENSDARG00000036588
A_15_P197991	ENSDARG00000098257
A_15_P143291	ENSDARG00000098257
	ENSDARG00000059351
A_15_P169586	ENSDARG00000059351
	ENSDARG00000105553
A_15_P204306	ENSDARG00000078717
	ENSDARG00000078717
A_15_P103615	ENSDARG00000024219
A_15_P103785	ENSDARG00000102612
A_15_P107359	ENSDARG00000102612
A_15_P364375	ENSDARG00000102612
	ENSDARG00000075818
A_15_P163341	ENSDARG00000063006
	ENSDARG00000097115
A_15_P201816	ENSDARG00000055560
A_15_P241701	ENSDARG00000099099
	ENSDARG00000099099
	ENSDARG00000024771
	ENSDARG00000052846
	ENSDARG00000092855
A_15_P159774	ENSDARG00000014024
A_15_P113362	ENSDARG00000100531
A_15_P135101	ENSDARG00000100531
	ENSDARG00000101319
A_15_P202751	ENSDARG00000055445
	ENSDARG00000055445
	ENSDARG00000089750
	ENSDARG00000078529
	ENSDARG00000094550
A_15_P145561	ENSDARG00000091169
A_15_P111369	ENSDARG00000052010
	ENSDARG00000052010
A_15_P209631	ENSDARG00000098075
	ENSDARG00000093164
A_15_P120284	ENSDARG00000093780
A_15_P333039	ENSDARG00000069595
A_15_P200721	ENSDARG00000069595
A_15_P440995	ENSDARG00000069595
A_15_P410740	ENSDARG00000093621
	ENSDARG00000045070
A_15_P161656	ENSDARG00000045070
	ENSDARG00000055901
	ENSDARG00000093608
A_15_P108599	ENSDARG00000093608
	ENSDARG00000023111
A_15_P113245	ENSDARG00000023111
A_15_P172381	ENSDARG00000023111
A_15_P111719	ENSDARG00000020197
A_15_P113774	ENSDARG00000040930
A_15_P540762	ENSDARG00000040930
A_15_P162261	ENSDARG00000040930
	ENSDARG00000099685
	ENSDARG00000051729
	ENSDARG00000098514
A_15_P380090	ENSDARG00000077778
	ENSDARG00000077778
A_15_P182296	ENSDARG00000057227
	ENSDARG00000092014
	ENSDARG00000043431
A_15_P153951	ENSDARG00000043431
	ENSDARG00000029905
A_15_P104233	ENSDARG00000029905
	ENSDARG00000077082
	ENSDARG00000077581
A_15_P117412	ENSDARG00000077581
A_15_P171181	ENSDARG00000077581
A_15_P100889	ENSDARG00000018593
A_15_P120895	ENSDARG00000079455
	ENSDARG00000079455
A_15_P142291	ENSDARG00000071648
	ENSDARG00000095337
	ENSDARG00000097225
A_15_P240466	ENSDARG00000097063
A_15_P547202	ENSDARG00000094616
	ENSDARG00000094616
A_15_P162981	ENSDARG00000002509
A_15_P495397	ENSDARG00000002509
	ENSDARG00000027826
A_15_P188781	ENSDARG00000010408
A_15_P200426	ENSDARG00000054031
A_15_P563417	ENSDARG00000054031
A_15_P334449	ENSDARG00000062987
A_15_P109128	ENSDARG00000062987
A_15_P118886	ENSDARG00000004296
	ENSDARG00000004296
A_15_P108980	ENSDARG00000039880
	ENSDARG00000039880
	ENSDARG00000035860
A_15_P106486	ENSDARG00000035860
A_15_P118442	ENSDARG00000035860
A_15_P151911	ENSDARG00000041078
A_15_P167836	ENSDARG00000041078
	ENSDARG00000041078
A_15_P181941	ENSDARG00000023298
A_15_P145062	ENSDARG00000104332
	ENSDARG00000075112
A_15_P569807	ENSDARG00000002219
	ENSDARG00000098889
	ENSDARG00000079391
	ENSDARG00000074306
	ENSDARG00000093010
	ENSDARG00000096588
	ENSDARG00000105603
	ENSDARG00000093645
	ENSDARG00000040021
A_15_P100712	ENSDARG00000036893
A_15_P149401	ENSDARG00000036893
A_15_P107376	ENSDARG00000013266
A_15_P284066	ENSDARG00000013266
A_15_P200116	ENSDARG00000042937
	ENSDARG00000111173
A_15_P189306	ENSDARG00000094473
A_15_P569547	ENSDARG00000071377
	ENSDARG00000071377
A_15_P101377	ENSDARG00000025671
A_15_P172661	ENSDARG00000025671
	ENSDARG00000092630
A_15_P534037	ENSDARG00000035018
	ENSDARG00000035018
	ENSDARG00000039173
	ENSDARG00000037196
A_15_P106350	ENSDARG00000032264
A_15_P150336	ENSDARG00000032264
A_15_P364890	ENSDARG00000032264
	ENSDARG00000032264
	ENSDARG00000025325
	ENSDARG00000097542
A_15_P143826	ENSDARG00000054184
A_15_P269646	ENSDARG00000054184
	ENSDARG00000056331
A_15_P211081	ENSDARG00000102080
A_15_P366710	ENSDARG00000102080
A_15_P109612	ENSDARG00000069888
A_15_P154036	ENSDARG00000038363
	ENSDARG00000038363
A_15_P149536	ENSDARG00000010472
A_15_P286086	ENSDARG00000010472
A_15_P101694	ENSDARG00000040643
	ENSDARG00000075673
A_15_P419605	ENSDARG00000075673
A_15_P450040	ENSDARG00000075673
A_15_P103220	ENSDARG00000017422
A_15_P153196	ENSDARG00000017422
	ENSDARG00000095804
	ENSDARG00000077318
A_15_P460215	ENSDARG00000097032
A_15_P167896	ENSDARG00000092535
	ENSDARG00000096638
A_15_P181736	ENSDARG00000063390
A_15_P209241	ENSDARG00000026403
	ENSDARG00000062108
	ENSDARG00000076830
A_15_P573622	ENSDARG00000076830
A_15_P157021	ENSDARG00000042726
	ENSDARG00000075030
A_15_P103301	ENSDARG00000103155
A_15_P206401	ENSDARG00000103155
A_15_P153316	ENSDARG00000019235
A_15_P578347	ENSDARG00000019235
	ENSDARG00000075952
A_15_P106698	ENSDARG00000055472
A_15_P242241	ENSDARG00000088293
	ENSDARG00000088293
	ENSDARG00000101050
	ENSDARG00000097953
A_15_P207116	ENSDARG00000030867
	ENSDARG00000053383
A_15_P270367	ENSDARG00000056921
A_15_P184241	ENSDARG00000042057
A_15_P582202	ENSDARG00000042057
	ENSDARG00000042057
	ENSDARG00000105459
	ENSDARG00000100906
	ENSDARG00000088764
A_15_P392845	ENSDARG00000033754
A_15_P304786	ENSDARG00000002184
A_15_P146891	ENSDARG00000002184
A_15_P138431	ENSDARG00000093450
	ENSDARG00000015681
A_15_P117679	ENSDARG00000015681
A_15_P365060	ENSDARG00000015681
	ENSDARG00000092078
	ENSDARG00000105359
A_15_P408070	ENSDARG00000079665
	ENSDARG00000079665
A_15_P169891	ENSDARG00000021702
A_15_P200431	ENSDARG00000021702
	ENSDARG00000021702
	ENSDARG00000096968
A_15_P103801	ENSDARG00000070846
	ENSDARG00000070846
	ENSDARG00000070507
A_15_P113359	ENSDARG00000009754
A_15_P160521	ENSDARG00000009754
A_15_P598357	ENSDARG00000009754
	ENSDARG00000077124
	ENSDARG00000101124
A_15_P168424	ENSDARG00000067828
A_15_P282886	ENSDARG00000067828
A_15_P372090	ENSDARG00000004184
A_15_P196206	ENSDARG00000063155
	ENSDARG00000063155
	ENSDARG00000096606
A_15_P149101	ENSDARG00000033444
A_15_P181156	ENSDARG00000033444
	ENSDARG00000088861
	ENSDARG00000079453
A_15_P164976	ENSDARG00000042825
	ENSDARG00000100423
A_15_P121369	ENSDARG00000060036
A_15_P107761	ENSDARG00000020926
	ENSDARG00000020926
	ENSDARG00000104656
	ENSDARG00000091901
	ENSDARG00000019098
	ENSDARG00000016897
	ENSDARG00000037962
A_15_P107527	ENSDARG00000096996
A_15_P139096	ENSDARG00000003533
A_15_P104918	ENSDARG00000015566
A_15_P139946	ENSDARG00000015566
	ENSDARG00000015566
	ENSDARG00000115281
	ENSDARG00000114405
	ENSDARG00000020788
A_15_P183296	ENSDARG00000020788
A_15_P108401	ENSDARG00000098428
A_15_P445195	ENSDARG00000098428
	ENSDARG00000097460
A_15_P108801	ENSDARG00000069245
A_15_P139811	ENSDARG00000069245
	ENSDARG00000004597
A_15_P109103	ENSDARG00000009350
	ENSDARG00000010956
A_15_P110632	ENSDARG00000010956
	ENSDARG00000098260
	ENSDARG00000099535
A_15_P548197	ENSDARG00000100139
	ENSDARG00000100139
	ENSDARG00000076966
A_15_P103307	ENSDARG00000042252
A_15_P153711	ENSDARG00000042252
A_15_P106004	ENSDARG00000042151
A_15_P176636	ENSDARG00000042151
A_15_P100399	ENSDARG00000018898
A_15_P114302	ENSDARG00000018898
A_15_P106279	ENSDARG00000018898
A_15_P175216	ENSDARG00000004274
	ENSDARG00000018008
	ENSDARG00000103802
A_15_P363000	ENSDARG00000052164
	ENSDARG00000071548
A_15_P119888	ENSDARG00000046141
	ENSDARG00000036080
A_15_P105109	ENSDARG00000036080
A_15_P117363	ENSDARG00000041802
	ENSDARG00000096747
A_15_P137546	ENSDARG00000071679
A_15_P163516	ENSDARG00000071679
A_15_P452300	ENSDARG00000079438
A_15_P103526	ENSDARG00000086457
	ENSDARG00000086457
A_15_P142511	ENSDARG00000032552
	ENSDARG00000097736
	ENSDARG00000101910
A_15_P210996	ENSDARG00000058815
A_15_P110824	ENSDARG00000013076
A_15_P109404	ENSDARG00000044626
A_15_P309686	ENSDARG00000044626
	ENSDARG00000015862
	ENSDARG00000096017
A_15_P161381	ENSDARG00000014790
A_15_P399680	ENSDARG00000014790
	ENSDARG00000071396
A_15_P195696	ENSDARG00000061791
A_15_P134316	ENSDARG00000068993
A_15_P173711	ENSDARG00000068993
	ENSDARG00000068993
A_15_P177791	ENSDARG00000075072
	ENSDARG00000075072
	ENSDARG00000097687
	ENSDARG00000056531
A_15_P112568	ENSDARG00000056531
A_15_P157971	ENSDARG00000011240
A_15_P395615	ENSDARG00000011240
A_15_P162916	ENSDARG00000061185
	ENSDARG00000095132
A_15_P130061	ENSDARG00000059423
A_15_P517932	ENSDARG00000059423
A_15_P104068	ENSDARG00000036787
	ENSDARG00000079221
A_15_P210981	ENSDARG00000045857
A_15_P503892	ENSDARG00000045857
	ENSDARG00000094301
	ENSDARG00000114873
	ENSDARG00000103707
	ENSDARG00000097437
A_15_P136151	ENSDARG00000077299
	ENSDARG00000115333
	ENSDARG00000115584
A_15_P153761	ENSDARG00000033134
	ENSDARG00000004433
A_15_P180716	ENSDARG00000002994
A_15_P549772	ENSDARG00000022177
	ENSDARG00000036382
A_15_P146211	ENSDARG00000030311
	ENSDARG00000030311
A_15_P282921	ENSDARG00000003420
A_15_P120591	ENSDARG00000003420
A_15_P189861	ENSDARG00000060124
	ENSDARG00000045874
A_15_P117009	ENSDARG00000075666
A_15_P119504	ENSDARG00000075666
A_15_P107369	ENSDARG00000044895
A_15_P108216	ENSDARG00000041546
A_15_P205761	ENSDARG00000045691
A_15_P178506	ENSDARG00000098652
A_15_P334554	ENSDARG00000098652
A_15_P591412	ENSDARG00000100468
	ENSDARG00000101459
A_15_P120915	ENSDARG00000017675
	ENSDARG00000089513
	ENSDARG00000096118
	ENSDARG00000087814
A_15_P149771	ENSDARG00000101715
	ENSDARG00000101715
	ENSDARG00000095555
A_15_P166981	ENSDARG00000022918
	ENSDARG00000094135
	ENSDARG00000068602
A_15_P106648	ENSDARG00000002912
A_15_P113973	ENSDARG00000002912
A_15_P155281	ENSDARG00000103395
A_15_P257596	ENSDARG00000079377
A_15_P119794	ENSDARG00000016345
	ENSDARG00000016345
	ENSDARG00000091317
	ENSDARG00000096726
	ENSDARG00000070847
	ENSDARG00000096678
A_15_P211146	ENSDARG00000004034
	ENSDARG00000004034
	ENSDARG00000000474
A_15_P120537	ENSDARG00000054597
	ENSDARG00000054597
	ENSDARG00000097891
A_15_P198291	ENSDARG00000058695
	ENSDARG00000058695
A_15_P270761	ENSDARG00000099189
A_15_P155646	ENSDARG00000012467
	ENSDARG00000073950
A_15_P147761	ENSDARG00000067566
A_15_P103866	ENSDARG00000058696
	ENSDARG00000007383
	ENSDARG00000095291
A_15_P190386	ENSDARG00000063036
A_15_P556947	ENSDARG00000063036
	ENSDARG00000063036
	ENSDARG00000093079
A_15_P171141	ENSDARG00000019004
	ENSDARG00000073704
A_15_P282771	ENSDARG00000057887
A_15_P156636	ENSDARG00000045378
	ENSDARG00000099469
A_15_P114584	ENSDARG00000043757
	ENSDARG00000043757
	ENSDARG00000097342
A_15_P199886	ENSDARG00000017537
	ENSDARG00000017537
	ENSDARG00000094146
	ENSDARG00000012942
A_15_P131366	ENSDARG00000012942
A_15_P161756	ENSDARG00000012942
A_15_P131961	ENSDARG00000068934
A_15_P490067	ENSDARG00000104129
A_15_P310471	ENSDARG00000074156
	ENSDARG00000074156
A_15_P371925	ENSDARG00000052019
	ENSDARG00000101668
A_15_P103996	ENSDARG00000058587
A_15_P167556	ENSDARG00000058587
A_15_P176596	ENSDARG00000017860
	ENSDARG00000075996
A_15_P194446	ENSDARG00000067507
	ENSDARG00000070644
A_15_P141106	ENSDARG00000037935
	ENSDARG00000103815
	ENSDARG00000093180
A_15_P546357	ENSDARG00000043664
	ENSDARG00000101047
A_15_P110834	ENSDARG00000101047
A_15_P175006	ENSDARG00000005754
A_15_P198511	ENSDARG00000005754
	ENSDARG00000005754
	ENSDARG00000103165
A_15_P194201	ENSDARG00000101217
A_15_P510527	ENSDARG00000101217
A_15_P136771	ENSDARG00000062142
A_15_P201531	ENSDARG00000088402
	ENSDARG00000088402
A_15_P194256	ENSDARG00000052361
A_15_P102500	ENSDARG00000004580
A_15_P120030	ENSDARG00000004580
	ENSDARG00000078558
A_15_P544687	ENSDARG00000087469
A_15_P111962	ENSDARG00000038066
A_15_P132541	ENSDARG00000038066
A_15_P198401	ENSDARG00000001933
A_15_P309166	ENSDARG00000055713
A_15_P210311	ENSDARG00000040352
	ENSDARG00000040352
A_15_P201941	ENSDARG00000040705
A_15_P451180	ENSDARG00000040705
	ENSDARG00000040705
A_15_P106305	ENSDARG00000095863
A_15_P177091	ENSDARG00000095863
	ENSDARG00000040985
	ENSDARG00000020610
A_15_P168056	ENSDARG00000093781
	ENSDARG00000093781
A_15_P146406	ENSDARG00000035471
	ENSDARG00000116254
	ENSDARG00000074166
	ENSDARG00000091633
	ENSDARG00000096359
A_15_P139921	ENSDARG00000002333
	ENSDARG00000070626
A_15_P138971	ENSDARG00000071143
	ENSDARG00000052701
	ENSDARG00000058127
	ENSDARG00000100823
A_15_P119318	ENSDARG00000100823
	ENSDARG00000055855
	ENSDARG00000105665
A_15_P176396	ENSDARG00000043697
	ENSDARG00000077609
A_15_P241606	ENSDARG00000054331
	ENSDARG00000038793
A_15_P194386	ENSDARG00000038793
	ENSDARG00000063677
A_15_P118804	ENSDARG00000063677
A_15_P208131	ENSDARG00000076748
A_15_P182886	ENSDARG00000001559
	ENSDARG00000001559
	ENSDARG00000044059
A_15_P342755	ENSDARG00000008200
	ENSDARG00000008200
A_15_P105862	ENSDARG00000024189
A_15_P106129	ENSDARG00000103498
	ENSDARG00000059459
A_15_P194061	ENSDARG00000042000
A_15_P115596	ENSDARG00000010601
A_15_P330881	ENSDARG00000010601
A_15_P565342	ENSDARG00000010601
	ENSDARG00000078474
A_15_P160676	ENSDARG00000057863
	ENSDARG00000057863
	ENSDARG00000095894
A_15_P236221	ENSDARG00000013110
	ENSDARG00000013110
	ENSDARG00000097001
	ENSDARG00000098228
A_15_P470255	ENSDARG00000098228
A_15_P181656	ENSDARG00000098228
	ENSDARG00000059196
A_15_P106250	ENSDARG00000038967
A_15_P208151	ENSDARG00000038967
	ENSDARG00000009372
	ENSDARG00000021811
A_15_P195311	ENSDARG00000021811
A_15_P119958	ENSDARG00000036064
	ENSDARG00000036064
A_15_P450830	ENSDARG00000077040
	ENSDARG00000077040
	ENSDARG00000098934
	ENSDARG00000095851
	ENSDARG00000110915
A_15_P210696	ENSDARG00000005772
	ENSDARG00000005772
A_15_P171351	ENSDARG00000103226
	ENSDARG00000021590
	ENSDARG00000101190
A_15_P183456	ENSDARG00000033950
	ENSDARG00000097644
A_15_P203351	ENSDARG00000005271
	ENSDARG00000094370
A_15_P203745	ENSDARG00000070755
A_15_P208941	ENSDARG00000021369
	ENSDARG00000100590
	ENSDARG00000009748
A_15_P199866	ENSDARG00000096546
A_15_P199861	ENSDARG00000096546
	ENSDARG00000044264
A_15_P140041	ENSDARG00000002194
	ENSDARG00000002194
A_15_P181631	ENSDARG00000101222
A_15_P197736	ENSDARG00000069199
A_15_P120900	ENSDARG00000057869
A_15_P100585	ENSDARG00000103024
	ENSDARG00000103024
A_15_P118233	ENSDARG00000016811
A_15_P160981	ENSDARG00000016811
A_15_P416980	ENSDARG00000016811
A_15_P101480	ENSDARG00000006370
A_15_P109224	ENSDARG00000006370
	ENSDARG00000006370
A_15_P166401	ENSDARG00000089885
A_15_P199080	ENSDARG00000068221
	ENSDARG00000068221
	ENSDARG00000075853
	ENSDARG00000092299
	ENSDARG00000093546
A_15_P131196	ENSDARG00000075560
A_15_P512907	ENSDARG00000075560
	ENSDARG00000075560
	ENSDARG00000098744
	ENSDARG00000094958
A_15_P301091	ENSDARG00000092463
A_15_P147751	ENSDARG00000035741
	ENSDARG00000076530
A_15_P104818	ENSDARG00000070787
A_15_P160336	ENSDARG00000070787
A_15_P118188	ENSDARG00000007024
A_15_P367395	ENSDARG00000007024
A_15_P121453	ENSDARG00000094709
	ENSDARG00000094709
A_15_P204881	ENSDARG00000069765
	ENSDARG00000058503
	ENSDARG00000062521
A_15_P151231	ENSDARG00000020656
	ENSDARG00000074815
	ENSDARG00000067824
	ENSDARG00000068894
A_15_P158061	ENSDARG00000068894
A_15_P307751	ENSDARG00000068894
A_15_P378515	ENSDARG00000068894
A_15_P156026	ENSDARG00000090106
	ENSDARG00000090106
	ENSDARG00000088639
A_15_P153996	ENSDARG00000069515
	ENSDARG00000069515
A_15_P141871	ENSDARG00000022718
A_15_P192271	ENSDARG00000022718
A_15_P192276	ENSDARG00000022718
A_15_P471355	ENSDARG00000022718
A_15_P584292	ENSDARG00000105292
A_15_P584687	ENSDARG00000105292
A_15_P100157	ENSDARG00000033144
	ENSDARG00000070513
A_15_P120038	ENSDARG00000021021
	ENSDARG00000077877
A_15_P182031	ENSDARG00000062995
A_15_P301086	ENSDARG00000062995
A_15_P119141	ENSDARG00000014053
A_15_P119390	ENSDARG00000014053
	ENSDARG00000014053
	ENSDARG00000077560
A_15_P103413	ENSDARG00000086699
	ENSDARG00000099448
A_15_P165901	ENSDARG00000086034
A_15_P107345	ENSDARG00000043554
	ENSDARG00000103494
